year,country,refugee_count,population_millions,refugees_per_1000
2022,Austria,89862,9.1,9.87
2023,Austria,83748,9.1,9.2
2024,Austria,84987,9.1,9.34
2022,Belgium,61975,11.7,5.3
2023,Belgium,75260,11.7,6.43
2024,Belgium,85635,11.7,7.32
2022,Bulgaria,149215,6.5,22.96
2023,Bulgaria,68276,6.5,10.5
2024,Bulgaria,74322,6.5,11.43
2022,Croatia,19416,3.9,4.98
2023,Croatia,23733,3.9,6.09
2024,Croatia,27256,3.9,6.99
2022,Cyprus,12472,0.9,13.86
2023,Cyprus,19019,0.9,21.13
2024,Cyprus,21875,0.9,24.31
2022,Czechia,433501,10.5,41.29
2023,Czechia,374247,10.5,35.64
2024,Czechia,388388,10.5,36.99
2022,Denmark,32839,5.9,5.57
2023,Denmark,35940,5.9,6.09
2024,Denmark,36058,5.9,6.11
2022,Estonia,40298,1.4,28.78
2023,Estonia,41463,1.4,29.62
2024,Estonia,41729,1.4,29.81
2022,Finland,44953,5.5,8.17
2023,Finland,63503,5.5,11.55
2024,Finland,68589,5.5,12.47
2022,France,69302,68.0,1.02
2023,France,68181,68.0,1.0
2024,France,68929,68.0,1.01
2022,Germany,1002999,84.4,11.88
2023,Germany,1097503,84.4,13.0
2024,Germany,1205729,84.4,14.29
2022,Greece,21827,10.4,2.1
2023,Greece,27043,10.4,2.6
2024,Greece,32830,10.4,3.16
2022,Hungary,29632,9.7,3.05
2023,Hungary,57401,9.7,5.92
2024,Hungary,62987,9.7,6.49
2022,Ireland,70578,5.1,13.84
2023,Ireland,100545,5.1,19.71
2024,Ireland,109081,5.1,21.39
2022,Italy,149872,59.0,2.54
2023,Italy,164667,59.0,2.79
2024,Italy,167780,59.0,2.84
2022,Latvia,37800,1.9,19.89
2023,Latvia,44307,1.9,23.32
2024,Latvia,47687,1.9,25.1
2022,Lithuania,65175,2.9,22.47
2023,Lithuania,77340,2.9,26.67
2024,Lithuania,50641,2.9,17.46
2022,Luxembourg,4500,0.7,6.43
2023,Luxembourg,5365,0.7,7.66
2024,Luxembourg,3747,0.7,5.35
2022,Malta,1765,0.5,3.53
2023,Malta,2192,0.5,4.38
2024,Malta,2591,0.5,5.18
2022,Netherlands,102643,17.8,5.77
2023,Netherlands,105338,17.8,5.92
2024,Netherlands,118974,17.8,6.68
2022,Poland,958147,38.0,25.21
2023,Poland,955891,38.0,25.16
2024,Poland,991223,38.0,26.08
2022,Portugal,44960,10.4,4.32
2023,Portugal,51566,10.4,4.96
2024,Portugal,57141,10.4,5.49
2022,Romania,100086,19.1,5.24
2023,Romania,81493,19.1,4.27
2024,Romania,177996,19.1,9.32
2022,Slovakia,94858,5.4,17.57
2023,Slovakia,124962,5.4,23.14
2024,Slovakia,142172,5.4,26.33
2022,Slovenia,7748,2.1,3.69
2023,Slovenia,9467,2.1,4.51
2024,Slovenia,11296,2.1,5.38
2022,Spain,159194,48.0,3.32
2023,Spain,191327,48.0,3.99
2024,Spain,222544,48.0,4.64
2022,Sweden,46857,10.5,4.46
2023,Sweden,43467,10.5,4.14
2024,Sweden,45993,10.5,4.38
